"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00374" 42 41 37 59 62 72 31 52 49 26 19 28
"T459_00375" 519 456 368 364 274 313 538 493 336 649 597 606
"T459_00376" 73 58 57 106 83 115 110 118 104 96 78 157
"T459_00377" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00378" 553 536 402 320 343 389 308 303 332 181 178 156
"T459_00379" 201 296 226 397 338 422 39 72 63 10 13 2
"T459_00380" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00381" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00382" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00383" 4 4 2 14 9 10 4 4 4 0 0 0
"T459_00384" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00385" 80 87 38 61 60 58 62 75 62 63 56 36
"T459_00386" 24 24 66 64 49 47 138 133 118 208 258 187
"T459_00387" 371 405 378 326 225 295 295 268 233 273 317 312
"T459_00388" 10 7 10 15 15 20 18 13 18 14 22 19
"T459_00389" 51 37 35 32 38 81 59 40 52 28 44 21
"T459_00390" 3 2 1 3 2 0 5 6 5 3 4 3
"T459_00391" 11 6 17 8 12 55 32 30 27 17 21 17
"T459_00392" 155 130 93 42 41 48 62 73 57 68 89 41
"T459_00393" 2214 2914 1162 1480 1276 902 29 71 40 6 11 12
"T459_00394" 2 2 0 2 0 4 24 13 13 15 2 13
"T459_00395" 118 112 99 123 116 125 121 133 98 55 44 31
"T459_00396" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00397" 26 39 15 13 9 11 50 37 27 126 118 148
"T459_00398" 1551 1946 733 868 766 456 551 593 423 507 357 388
"T459_00399" 136 137 82 55 61 84 104 95 74 92 78 79
"T459_00400" 73 88 86 232 256 340 319 339 303 187 161 142
"T459_00401" 148 160 167 215 194 176 283 246 195 417 442 278
"T459_00402" 3 2 1 2 0 0 1 0 0 1 1 0
"T459_00403" 7 3 7 13 5 7 34 42 19 392 63 242
"T459_00404" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00405" 1 2 2 0 0 0 0 0 0 0 0 0
"T459_00406" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00407" 180 126 68 88 126 244 306 297 280 199 199 284
"T459_00408" 1 2 3 0 0 1 0 0 0 2 4 1
"T459_00409" 29 29 36 23 19 30 24 27 21 17 20 20
"T459_00410" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00411" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00412" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00413" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00414" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00415" 26 29 32 29 19 21 26 19 41 31 41 24
"T459_00416" 73 67 48 64 48 53 63 65 61 112 85 67
"T459_00417" 0 0 0 1 0 0 0 0 0 0 0 0
